city,year,weekofyear,total_cases
sj,2008,18,6
sj,2008,19,7
sj,2008,20,5
sj,2008,21,32
sj,2008,22,51
sj,2008,23,22
sj,2008,24,10
sj,2008,25,38
sj,2008,26,7
sj,2008,27,5
sj,2008,28,12
sj,2008,29,16
sj,2008,30,19
sj,2008,31,17
sj,2008,32,63
sj,2008,33,3
sj,2008,34,26
sj,2008,35,202
sj,2008,36,51
sj,2008,37,17
sj,2008,38,47
sj,2008,39,23
sj,2008,40,20
sj,2008,41,63
sj,2008,42,38
sj,2008,43,24
sj,2008,44,33
sj,2008,45,36
sj,2008,46,28
sj,2008,47,25
sj,2008,48,34
sj,2008,49,23
sj,2008,50,23
sj,2008,51,28
sj,2008,52,17
sj,2009,1,17
sj,2009,2,9
sj,2009,3,64
sj,2009,4,27
sj,2009,5,60
sj,2009,6,18
sj,2009,7,19
sj,2009,8,12
sj,2009,9,10
sj,2009,10,6
sj,2009,11,20
sj,2009,12,8
sj,2009,13,1
sj,2009,14,10
sj,2009,15,3
sj,2009,16,5
sj,2009,17,7
sj,2009,18,4
sj,2009,19,24
sj,2009,20,3
sj,2009,21,2
sj,2009,22,15
sj,2009,23,7
sj,2009,24,19
sj,2009,25,3
sj,2009,26,15
sj,2009,27,22
sj,2009,28,29
sj,2009,29,59
sj,2009,30,19
sj,2009,31,32
sj,2009,32,17
sj,2009,33,11
sj,2009,34,27
sj,2009,35,65
sj,2009,36,26
sj,2009,37,35
sj,2009,38,18
sj,2009,39,44
sj,2009,40,73
sj,2009,41,77
sj,2009,42,99
sj,2009,43,5
sj,2009,44,109
sj,2009,45,39
sj,2009,46,11
sj,2009,47,23
sj,2009,48,74
sj,2009,49,21
sj,2009,50,51
sj,2009,51,16
sj,2009,52,50
sj,2010,53,20
sj,2010,1,42
sj,2010,2,47
sj,2010,3,21
sj,2010,4,28
sj,2010,5,21
sj,2010,6,8
sj,2010,7,25
sj,2010,8,26
sj,2010,9,13
sj,2010,10,16
sj,2010,11,10
sj,2010,12,13
sj,2010,13,7
sj,2010,14,9
sj,2010,15,5
sj,2010,16,9
sj,2010,17,31
sj,2010,18,16
sj,2010,19,17
sj,2010,20,15
sj,2010,21,11
sj,2010,22,10
sj,2010,23,71
sj,2010,24,44
sj,2010,25,106
sj,2010,26,42
sj,2010,27,62
sj,2010,28,257
sj,2010,29,42
sj,2010,30,11
sj,2010,31,19
sj,2010,32,21
sj,2010,33,50
sj,2010,34,66
sj,2010,35,183
sj,2010,36,22
sj,2010,37,100
sj,2010,38,12
sj,2010,39,42
sj,2010,40,29
sj,2010,41,32
sj,2010,42,64
sj,2010,43,41
sj,2010,44,26
sj,2010,45,53
sj,2010,46,15
sj,2010,47,12
sj,2010,48,20
sj,2010,49,20
sj,2010,50,8
sj,2010,51,18
sj,2011,52,33
sj,2011,1,26
sj,2011,2,72
sj,2011,3,10
sj,2011,4,6
sj,2011,5,20
sj,2011,6,59
sj,2011,7,10
sj,2011,8,7
sj,2011,9,9
sj,2011,10,2
sj,2011,11,0
sj,2011,12,13
sj,2011,13,16
sj,2011,14,3
sj,2011,15,8
sj,2011,16,6
sj,2011,17,5
sj,2011,18,11
sj,2011,19,5
sj,2011,20,16
sj,2011,21,20
sj,2011,22,14
sj,2011,23,7
sj,2011,24,50
sj,2011,25,34
sj,2011,26,7
sj,2011,27,14
sj,2011,28,21
sj,2011,29,4
sj,2011,30,87
sj,2011,31,22
sj,2011,32,63
sj,2011,33,20
sj,2011,34,119
sj,2011,35,45
sj,2011,36,36
sj,2011,37,46
sj,2011,38,64
sj,2011,39,38
sj,2011,40,60
sj,2011,41,22
sj,2011,42,15
sj,2011,43,17
sj,2011,44,28
sj,2011,45,42
sj,2011,46,42
sj,2011,47,23
sj,2011,48,16
sj,2011,49,15
sj,2011,50,32
sj,2011,51,35
sj,2012,52,33
sj,2012,1,29
sj,2012,2,59
sj,2012,3,8
sj,2012,4,23
sj,2012,5,12
sj,2012,6,13
sj,2012,7,12
sj,2012,8,5
sj,2012,9,8
sj,2012,10,7
sj,2012,11,9
sj,2012,12,4
sj,2012,13,28
sj,2012,14,13
sj,2012,15,21
sj,2012,16,23
sj,2012,17,2
sj,2012,18,65
sj,2012,19,7
sj,2012,20,32
sj,2012,21,11
sj,2012,22,4
sj,2012,23,10
sj,2012,24,23
sj,2012,25,45
sj,2012,26,14
sj,2012,27,20
sj,2012,28,12
sj,2012,29,11
sj,2012,30,8
sj,2012,31,14
sj,2012,32,27
sj,2012,33,2
sj,2012,34,25
sj,2012,35,10
sj,2012,36,57
sj,2012,37,143
sj,2012,38,91
sj,2012,39,43
sj,2012,40,69
sj,2012,41,75
sj,2012,42,13
sj,2012,43,12
sj,2012,44,3
sj,2012,45,85
sj,2012,46,63
sj,2012,47,44
sj,2012,48,23
sj,2012,49,34
sj,2012,50,25
sj,2012,51,24
sj,2013,1,10
sj,2013,2,10
sj,2013,3,2
sj,2013,4,7
sj,2013,5,10
sj,2013,6,29
sj,2013,7,11
sj,2013,8,6
sj,2013,9,6
sj,2013,10,8
sj,2013,11,3
sj,2013,12,5
sj,2013,13,14
sj,2013,14,11
sj,2013,15,4
sj,2013,16,5
sj,2013,17,6
iq,2010,26,1
iq,2010,27,2
iq,2010,28,5
iq,2010,29,4
iq,2010,30,7
iq,2010,31,3
iq,2010,32,1
iq,2010,33,1
iq,2010,34,0
iq,2010,35,0
iq,2010,36,7
iq,2010,37,0
iq,2010,38,0
iq,2010,39,0
iq,2010,40,2
iq,2010,41,0
iq,2010,42,7
iq,2010,43,2
iq,2010,44,1
iq,2010,45,0
iq,2010,46,8
iq,2010,47,4
iq,2010,48,18
iq,2010,49,4
iq,2010,50,2
iq,2010,51,3
iq,2011,52,4
iq,2011,1,11
iq,2011,2,9
iq,2011,3,9
iq,2011,4,18
iq,2011,5,2
iq,2011,6,10
iq,2011,7,7
iq,2011,8,5
iq,2011,9,11
iq,2011,10,5
iq,2011,11,8
iq,2011,12,3
iq,2011,13,6
iq,2011,14,10
iq,2011,15,1
iq,2011,16,5
iq,2011,17,5
iq,2011,18,6
iq,2011,19,0
iq,2011,20,6
iq,2011,21,4
iq,2011,22,2
iq,2011,23,9
iq,2011,24,0
iq,2011,25,3
iq,2011,26,2
iq,2011,27,1
iq,2011,28,0
iq,2011,29,0
iq,2011,30,2
iq,2011,31,4
iq,2011,32,2
iq,2011,33,4
iq,2011,34,4
iq,2011,35,4
iq,2011,36,4
iq,2011,37,4
iq,2011,38,19
iq,2011,39,24
iq,2011,40,11
iq,2011,41,23
iq,2011,42,1
iq,2011,43,18
iq,2011,44,6
iq,2011,45,8
iq,2011,46,8
iq,2011,47,3
iq,2011,48,3
iq,2011,49,3
iq,2011,50,35
iq,2011,51,13
iq,2012,52,16
iq,2012,1,8
iq,2012,2,7
iq,2012,3,2
iq,2012,4,4
iq,2012,5,2
iq,2012,6,8
iq,2012,7,7
iq,2012,8,4
iq,2012,9,1
iq,2012,10,6
iq,2012,11,1
iq,2012,12,0
iq,2012,13,12
iq,2012,14,1
iq,2012,15,3
iq,2012,16,9
iq,2012,17,3
iq,2012,18,2
iq,2012,19,0
iq,2012,20,3
iq,2012,21,0
iq,2012,22,2
iq,2012,23,5
iq,2012,24,4
iq,2012,25,5
iq,2012,26,0
iq,2012,27,0
iq,2012,28,3
iq,2012,29,0
iq,2012,30,2
iq,2012,31,3
iq,2012,32,1
iq,2012,33,2
iq,2012,34,13
iq,2012,35,0
iq,2012,36,1
iq,2012,37,3
iq,2012,38,5
iq,2012,39,8
iq,2012,40,4
iq,2012,41,17
iq,2012,42,5
iq,2012,43,41
iq,2012,44,3
iq,2012,45,1
iq,2012,46,8
iq,2012,47,96
iq,2012,48,14
iq,2012,49,3
iq,2012,50,0
iq,2012,51,18
iq,2013,1,6
iq,2013,2,1
iq,2013,3,1
iq,2013,4,6
iq,2013,5,5
iq,2013,6,10
iq,2013,7,12
iq,2013,8,11
iq,2013,9,8
iq,2013,10,5
iq,2013,11,7
iq,2013,12,6
iq,2013,13,12
iq,2013,14,12
iq,2013,15,4
iq,2013,16,7
iq,2013,17,1
iq,2013,18,0
iq,2013,19,12
iq,2013,20,10
iq,2013,21,1
iq,2013,22,3
iq,2013,23,4
iq,2013,24,1
iq,2013,25,2
iq,2013,26,3
